ID;age;job;marital;education;default;housing;loan;contact;month;day_of_week;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
34579;35;admin.;single;university.degree;no;yes;no;cellular;may;thu;1;999;1;failure;-1.8;92.893;-46.2;1.266;5099.1;no
446;42;technician;married;professional.course;no;no;no;telephone;may;tue;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;yes
20173;36;admin.;married;university.degree;no;no;no;cellular;aug;mon;2;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1;yes
18171;37;admin.;married;high.school;no;yes;yes;telephone;jul;wed;2;999;0;nonexistent;1.4;93.918;-42.7;4.963;5228.1;yes
30128;31;management;single;university.degree;no;yes;no;cellular;apr;thu;1;999;0;nonexistent;-1.8;93.075;-47.1;1.365;5099.1;no
36765;25;admin.;single;unknown;no;no;no;telephone;jun;tue;7;999;0;nonexistent;-2.9;92.963;-40.8;1.286;5076.2;yes
6835;42;blue-collar;married;basic.9y;no;no;no;telephone;may;wed;5;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
31944;36;blue-collar;single;basic.9y;no;no;yes;cellular;may;thu;2;999;0;nonexistent;-1.8;92.893;-46.2;1.327;5099.1;yes
41174;62;retired;married;university.degree;no;yes;no;cellular;nov;thu;1;1;6;success;-1.1;94.767;-50.8;1.031;4963.6;yes
38071;70;retired;married;basic.4y;no;no;no;cellular;sep;tue;1;3;2;success;-3.4;92.379;-29.8;0.77;5017.5;yes
12368;33;services;married;high.school;no;yes;no;cellular;jul;fri;2;999;0;nonexistent;1.4;93.918;-42.7;4.959;5228.1;no
5863;24;admin.;married;basic.9y;no;yes;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;yes
30599;53;technician;married;professional.course;no;no;no;cellular;may;mon;3;999;0;nonexistent;-1.8;92.893;-46.2;1.354;5099.1;yes
38691;27;student;single;university.degree;no;no;yes;cellular;nov;mon;1;999;0;nonexistent;-3.4;92.649;-30.1;0.715;5017.5;yes
23661;30;admin.;single;university.degree;no;yes;yes;telephone;aug;thu;9;999;0;nonexistent;1.4;93.444;-36.1;4.962;5228.1;no
36463;33;admin.;single;university.degree;no;no;no;cellular;jun;tue;3;999;0;nonexistent;-2.9;92.963;-40.8;1.262;5076.2;yes
27593;56;retired;married;basic.4y;no;no;no;cellular;nov;fri;2;999;1;failure;-0.1;93.2;-42;4.021;5195.8;no
36923;36;services;married;university.degree;no;no;yes;cellular;jun;tue;2;3;1;success;-2.9;92.963;-40.8;1.206;5076.2;yes
41000;54;services;divorced;high.school;no;yes;no;cellular;oct;wed;3;999;2;failure;-1.1;94.601;-49.5;1.016;4963.6;yes
12387;40;admin.;married;high.school;no;yes;yes;cellular;jul;mon;2;999;0;nonexistent;1.4;93.918;-42.7;4.96;5228.1;yes
34670;27;admin.;single;university.degree;no;yes;no;cellular;may;thu;4;999;0;nonexistent;-1.8;92.893;-46.2;1.266;5099.1;yes
36019;61;unknown;single;basic.4y;no;yes;yes;cellular;may;tue;3;999;0;nonexistent;-1.8;92.893;-46.2;1.266;5099.1;no
31512;48;blue-collar;married;basic.6y;unknown;no;no;telephone;may;wed;6;999;0;nonexistent;-1.8;92.893;-46.2;1.334;5099.1;no
9028;34;blue-collar;divorced;professional.course;no;no;no;telephone;jun;thu;4;999;0;nonexistent;1.4;94.465;-41.8;4.866;5228.1;yes
33008;37;housemaid;divorced;basic.9y;unknown;yes;no;telephone;may;mon;2;999;0;nonexistent;-1.8;92.893;-46.2;1.299;5099.1;no
11155;37;technician;married;professional.course;no;no;no;telephone;jun;thu;1;999;0;nonexistent;1.4;94.465;-41.8;4.961;5228.1;no
39963;37;unemployed;married;university.degree;unknown;no;no;telephone;jun;mon;1;999;0;nonexistent;-1.7;94.055;-39.8;0.754;4991.6;yes
8180;34;blue-collar;married;basic.9y;no;no;no;telephone;jun;tue;2;999;0;nonexistent;1.4;94.465;-41.8;4.864;5228.1;yes
37470;30;services;single;high.school;no;yes;no;cellular;aug;thu;2;999;0;nonexistent;-2.9;92.201;-31.4;0.873;5076.2;yes
29140;39;blue-collar;married;basic.9y;no;yes;no;cellular;apr;fri;1;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1;no
9239;40;blue-collar;married;professional.course;unknown;no;no;telephone;jun;fri;2;999;0;nonexistent;1.4;94.465;-41.8;4.967;5228.1;yes
16697;38;entrepreneur;married;university.degree;no;yes;no;telephone;jul;wed;4;999;0;nonexistent;1.4;93.918;-42.7;4.963;5228.1;no
5784;25;blue-collar;married;high.school;unknown;yes;yes;telephone;may;mon;6;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;yes
1558;31;blue-collar;single;professional.course;no;no;no;telephone;may;thu;3;999;0;nonexistent;1.1;93.994;-36.4;4.855;5191;no
22133;55;services;married;basic.9y;no;no;no;cellular;aug;thu;3;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1;no
32271;40;services;married;basic.4y;unknown;no;no;cellular;may;fri;1;999;1;failure;-1.8;92.893;-46.2;1.313;5099.1;no
26590;30;blue-collar;married;basic.9y;unknown;no;no;cellular;nov;thu;1;999;0;nonexistent;-0.1;93.2;-42;4.076;5195.8;yes
36867;55;management;married;university.degree;no;yes;no;cellular;jun;tue;3;999;0;nonexistent;-2.9;92.963;-40.8;1.252;5076.2;yes
28579;29;technician;single;university.degree;no;yes;no;cellular;apr;wed;2;999;0;nonexistent;-1.8;93.075;-47.1;1.415;5099.1;yes
27148;52;admin.;divorced;university.degree;no;yes;no;cellular;nov;fri;1;999;0;nonexistent;-0.1;93.2;-42;4.021;5195.8;no
20629;32;admin.;single;university.degree;no;no;no;cellular;aug;wed;1;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1;yes
15850;39;blue-collar;married;basic.4y;unknown;no;no;cellular;jul;mon;1;999;0;nonexistent;1.4;93.918;-42.7;4.96;5228.1;no
36689;31;technician;married;university.degree;no;yes;no;cellular;jun;fri;2;999;0;nonexistent;-2.9;92.963;-40.8;1.268;5076.2;yes
21173;36;admin.;married;high.school;no;no;no;cellular;aug;mon;2;999;0;nonexistent;1.4;93.444;-36.1;4.963;5228.1;no
28572;49;management;married;university.degree;no;no;no;cellular;apr;wed;1;999;0;nonexistent;-1.8;93.075;-47.1;1.415;5099.1;yes
39601;72;retired;married;basic.4y;no;yes;no;cellular;may;wed;4;999;0;nonexistent;-1.8;93.876;-40;0.672;5008.7;yes
25687;33;entrepreneur;married;basic.9y;unknown;no;no;cellular;nov;wed;1;999;0;nonexistent;-0.1;93.2;-42;4.12;5195.8;no
18350;40;unknown;married;unknown;no;yes;yes;cellular;jul;thu;6;999;0;nonexistent;1.4;93.918;-42.7;4.968;5228.1;no
7881;39;services;single;high.school;unknown;yes;yes;telephone;jun;mon;1;999;0;nonexistent;1.4;94.465;-41.8;4.865;5228.1;yes
28620;39;technician;single;professional.course;no;yes;no;cellular;apr;wed;3;999;0;nonexistent;-1.8;93.075;-47.1;1.415;5099.1;no
4397;34;services;married;high.school;unknown;no;no;telephone;may;tue;2;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191;no
24009;48;admin.;married;high.school;no;no;no;telephone;oct;mon;1;999;0;nonexistent;-0.1;93.798;-40.4;5;5195.8;yes
13820;31;technician;married;professional.course;no;no;no;cellular;jul;thu;1;999;0;nonexistent;1.4;93.918;-42.7;4.963;5228.1;yes
10828;26;blue-collar;single;unknown;no;yes;yes;telephone;jun;wed;1;999;0;nonexistent;1.4;94.465;-41.8;4.962;5228.1;no
39581;24;student;single;high.school;no;yes;no;cellular;may;tue;2;6;2;success;-1.8;93.876;-40;0.668;5008.7;yes
40514;33;student;married;professional.course;no;yes;no;cellular;aug;mon;3;3;4;success;-1.7;94.027;-38.3;0.896;4991.6;yes
40220;72;retired;married;basic.6y;no;yes;no;cellular;jul;wed;1;999;0;nonexistent;-1.7;94.215;-40.3;0.881;4991.6;yes
38349;38;technician;married;university.degree;no;no;no;cellular;oct;fri;1;999;0;nonexistent;-3.4;92.431;-26.9;0.739;5017.5;yes
37756;79;housemaid;married;basic.4y;no;no;no;cellular;aug;fri;1;3;2;success;-2.9;92.201;-31.4;0.849;5076.2;yes
33640;38;blue-collar;single;basic.9y;no;yes;no;telephone;may;wed;5;999;0;nonexistent;-1.8;92.893;-46.2;1.281;5099.1;no
26962;33;admin.;single;university.degree;no;yes;no;cellular;nov;thu;2;999;0;nonexistent;-0.1;93.2;-42;4.076;5195.8;no
5384;60;retired;married;high.school;unknown;yes;no;telephone;may;fri;6;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;yes
